SUBJECT;LABEL;DICE;HDRFDST
117122;Amygdala;0.4868229116016727;13.74772708486752
117122;GreyMatter;0.7250973731109617;2.0
117122;Hippocampus;0.5792368630435535;14.212670403551895
117122;Thalamus;0.7785000118183752;15.0
117122;WhiteMatter;0.8171469161782585;3.0
117122-PP;Amygdala;0.4868229116016727;13.74772708486752
117122-PP;GreyMatter;0.7250973731109617;2.0
117122-PP;Hippocampus;0.5792368630435535;14.212670403551895
117122-PP;Thalamus;0.7785000118183752;15.0
117122-PP;WhiteMatter;0.8171469161782585;3.0
118528;Amygdala;0.4552213001383126;14.352700094407323
118528;GreyMatter;0.7239721594233689;2.23606797749979
118528;Hippocampus;0.5528152629129828;14.628738838327793
118528;Thalamus;0.7411662092879784;15.132745950421556
118528;WhiteMatter;0.8290918776221273;3.0
118528-PP;Amygdala;0.4552213001383126;14.352700094407323
118528-PP;GreyMatter;0.7239721594233689;2.23606797749979
118528-PP;Hippocampus;0.5528152629129828;14.628738838327793
118528-PP;Thalamus;0.7411662092879784;15.132745950421556
118528-PP;WhiteMatter;0.8290918776221273;3.0
118730;Amygdala;0.5633827999284821;11.789826122551595
118730;GreyMatter;0.7314126877091235;2.0
118730;Hippocampus;0.51876853195382;12.083045973594572
118730;Thalamus;0.7402518688127147;15.264337522473747
118730;WhiteMatter;0.8157835932428994;2.449489742783178
118730-PP;Amygdala;0.5633827999284821;11.789826122551595
118730-PP;GreyMatter;0.7314126877091235;2.0
118730-PP;Hippocampus;0.51876853195382;12.083045973594572
118730-PP;Thalamus;0.7402518688127147;15.264337522473747
118730-PP;WhiteMatter;0.8157835932428994;2.449489742783178
118932;Amygdala;0.545522249115621;12.884098726725126
118932;GreyMatter;0.7370770741502866;2.0
118932;Hippocampus;0.539486472082014;13.601470508735444
118932;Thalamus;0.7553072152729274;15.0996688705415
118932;WhiteMatter;0.8344852902240281;2.449489742783178
118932-PP;Amygdala;0.545522249115621;12.884098726725126
118932-PP;GreyMatter;0.7370770741502866;2.0
118932-PP;Hippocampus;0.539486472082014;13.601470508735444
118932-PP;Thalamus;0.7553072152729274;15.0996688705415
118932-PP;WhiteMatter;0.8344852902240281;2.449489742783178
120111;Amygdala;0.5169376693766937;9.433981132056603
120111;GreyMatter;0.7210900609183025;2.0
120111;Hippocampus;0.5368052709561489;12.328828005937952
120111;Thalamus;0.7172582104310871;15.84297951775486
120111;WhiteMatter;0.8489715516980574;2.23606797749979
120111-PP;Amygdala;0.5169376693766937;9.433981132056603
120111-PP;GreyMatter;0.7210900609183025;2.0
120111-PP;Hippocampus;0.5368052709561489;12.328828005937952
120111-PP;Thalamus;0.7172582104310871;15.84297951775486
120111-PP;WhiteMatter;0.8489715516980574;2.23606797749979
122317;Amygdala;0.5958321103610215;13.601470508735444
122317;GreyMatter;0.7378358674414073;2.0
122317;Hippocampus;0.5639788997739261;13.564659966250536
122317;Thalamus;0.7755302194434228;13.038404810405298
122317;WhiteMatter;0.8348924499715434;3.0
122317-PP;Amygdala;0.5958321103610215;13.601470508735444
122317-PP;GreyMatter;0.7378358674414073;2.0
122317-PP;Hippocampus;0.5639788997739261;13.564659966250536
122317-PP;Thalamus;0.7755302194434228;13.038404810405298
122317-PP;WhiteMatter;0.8348924499715434;3.0
122620;Amygdala;0.5957178841309824;13.74772708486752
122620;GreyMatter;0.7404808999216921;2.0
122620;Hippocampus;0.5778913986149764;15.0
122620;Thalamus;0.7723745009196537;12.36931687685298
122620;WhiteMatter;0.8076660016558957;3.0
122620-PP;Amygdala;0.5957178841309824;13.74772708486752
122620-PP;GreyMatter;0.7404808999216921;2.0
122620-PP;Hippocampus;0.5778913986149764;15.0
122620-PP;Thalamus;0.7723745009196537;12.36931687685298
122620-PP;WhiteMatter;0.8076660016558957;3.0
123117;Amygdala;0.5370759806162567;13.379088160259652
123117;GreyMatter;0.7238894686625221;2.449489742783178
123117;Hippocampus;0.5497878712253557;13.30413469565007
123117;Thalamus;0.722441440685081;16.61324772583615
123117;WhiteMatter;0.8452756138585243;3.0
123117-PP;Amygdala;0.5370759806162567;13.379088160259652
123117-PP;GreyMatter;0.7238894686625221;2.449489742783178
123117-PP;Hippocampus;0.5497878712253557;13.30413469565007
123117-PP;Thalamus;0.722441440685081;16.61324772583615
123117-PP;WhiteMatter;0.8452756138585243;3.0
123925;Amygdala;0.5464835776581927;11.874342087037917
123925;GreyMatter;0.7186194325754258;2.0
123925;Hippocampus;0.5508493065295309;13.674794331177344
123925;Thalamus;0.7822717782035;14.177446878757825
123925;WhiteMatter;0.8318149254713966;3.0
123925-PP;Amygdala;0.5464835776581927;11.874342087037917
123925-PP;GreyMatter;0.7186194325754258;2.0
123925-PP;Hippocampus;0.5508493065295309;13.674794331177344
123925-PP;Thalamus;0.7822717782035;14.177446878757825
123925-PP;WhiteMatter;0.8318149254713966;3.0
124422;Amygdala;0.6331956170289205;11.575836902790225
124422;GreyMatter;0.7132350235177771;2.0
124422;Hippocampus;0.5856859248292339;12.041594578792296
124422;Thalamus;0.807370820668693;14.866068747318506
124422;WhiteMatter;0.7808968874465261;3.1622776601683795
124422-PP;Amygdala;0.6331956170289205;11.575836902790225
124422-PP;GreyMatter;0.7132350235177771;2.0
124422-PP;Hippocampus;0.5856859248292339;12.041594578792296
124422-PP;Thalamus;0.807370820668693;14.866068747318506
124422-PP;WhiteMatter;0.7808968874465261;3.1622776601683795
