SUBJECT;LABEL;DICE;HDRFDST
117122;Thalamus;0.7784648084633593;12.68857754044952
117122-PP;Thalamus;0.7784648084633593;12.68857754044952
118528;Thalamus;0.7501572770462286;8.0
118528-PP;Thalamus;0.7501572770462286;8.0
118730;Thalamus;0.7402211173919953;12.083045973594572
118730-PP;Thalamus;0.7402211173919953;12.083045973594572
118932;Thalamus;0.7536307278796549;11.40175425099138
118932-PP;Thalamus;0.7536307278796549;11.40175425099138
120111;Thalamus;0.7374474481015967;8.660254037844387
120111-PP;Thalamus;0.7374474481015967;8.660254037844387
122317;Thalamus;0.7738613467326684;10.0
122317-PP;Thalamus;0.7738613467326684;10.0
122620;Thalamus;0.7714429177888347;8.12403840463596
122620-PP;Thalamus;0.7714429177888347;8.12403840463596
123117;Thalamus;0.7416102267035432;7.483314773547883
123117-PP;Thalamus;0.7416102267035432;7.483314773547883
123925;Thalamus;0.786117060803427;8.06225774829855
123925-PP;Thalamus;0.786117060803427;8.06225774829855
124422;Thalamus;0.817693846679354;6.324555320336759
124422-PP;Thalamus;0.817693846679354;6.324555320336759
