SUBJECT;LABEL;DICE;HDRFDST
117122;Hippocampus;0.630066265988596;10.344080432788601
117122-PP;Hippocampus;0.630066265988596;10.344080432788601
118528;Hippocampus;0.6045402580434428;12.68857754044952
118528-PP;Hippocampus;0.6045402580434428;12.68857754044952
118730;Hippocampus;0.5353559241866279;9.16515138991168
118730-PP;Hippocampus;0.5353559241866279;9.16515138991168
118932;Hippocampus;0.5853827742897777;10.04987562112089
118932-PP;Hippocampus;0.5853827742897777;10.04987562112089
120111;Hippocampus;0.5703550756524388;10.099504938362077
120111-PP;Hippocampus;0.5703550756524388;10.099504938362077
122317;Hippocampus;0.59935923765711;10.0
122317-PP;Hippocampus;0.59935923765711;10.0
122620;Hippocampus;0.5867895545314901;10.344080432788601
122620-PP;Hippocampus;0.5867895545314901;10.344080432788601
123117;Hippocampus;0.590957465069175;11.40175425099138
123117-PP;Hippocampus;0.590957465069175;11.40175425099138
123925;Hippocampus;0.603702174511423;11.313708498984761
123925-PP;Hippocampus;0.603702174511423;11.313708498984761
124422;Hippocampus;0.6129329742889815;7.54983443527075
124422-PP;Hippocampus;0.6129329742889815;7.54983443527075
