SUBJECT;LABEL;DICE;HDRFDST
117122;Amygdala;0.49601417183348095;13.92838827718412
117122;GreyMatter;0.7232514835292674;2.0
117122;Hippocampus;0.5726053509428825;14.2828568570857
117122;Thalamus;0.7762333317627103;15.0
117122;WhiteMatter;0.8170064855992754;3.0
117122-PP;Amygdala;0.49601417183348095;13.92838827718412
117122-PP;GreyMatter;0.7232514835292674;2.0
117122-PP;Hippocampus;0.5726053509428825;14.2828568570857
117122-PP;Thalamus;0.7762333317627103;15.0
117122-PP;WhiteMatter;0.8170064855992754;3.0
118528;Amygdala;0.4650664763094495;14.317821063276353
118528;GreyMatter;0.722144387988369;2.8284271247461903
118528;Hippocampus;0.5429132625466139;14.560219778561036
118528;Thalamus;0.7349034960324977;15.362291495737216
118528;WhiteMatter;0.829009300408167;3.0
118528-PP;Amygdala;0.4650664763094495;14.317821063276353
118528-PP;GreyMatter;0.722144387988369;2.8284271247461903
118528-PP;Hippocampus;0.5429132625466139;14.560219778561036
118528-PP;Thalamus;0.7349034960324977;15.362291495737216
118528-PP;WhiteMatter;0.829009300408167;3.0
118730;Amygdala;0.5694657868570911;11.916375287812984
118730;GreyMatter;0.7285609367959954;2.0
118730;Hippocampus;0.5074370533934431;12.0
118730;Thalamus;0.7320000885876907;14.866068747318506
118730;WhiteMatter;0.8154160607654466;2.449489742783178
118730-PP;Amygdala;0.5694657868570911;11.916375287812984
118730-PP;GreyMatter;0.7285609367959954;2.0
118730-PP;Hippocampus;0.5074370533934431;12.0
118730-PP;Thalamus;0.7320000885876907;14.866068747318506
118730-PP;WhiteMatter;0.8154160607654466;2.449489742783178
118932;Amygdala;0.5497985571067179;13.038404810405298
118932;GreyMatter;0.7342561721709218;2.0
118932;Hippocampus;0.5309184834414686;13.601470508735444
118932;Thalamus;0.7506983973618433;14.696938456699069
118932;WhiteMatter;0.8346485389413665;2.449489742783178
118932-PP;Amygdala;0.5497985571067179;13.038404810405298
118932-PP;GreyMatter;0.7342561721709218;2.0
118932-PP;Hippocampus;0.5309184834414686;13.601470508735444
118932-PP;Thalamus;0.7506983973618433;14.696938456699069
118932-PP;WhiteMatter;0.8346485389413665;2.449489742783178
120111;Amygdala;0.5213653168257244;10.099504938362077
120111;GreyMatter;0.7181998906052547;2.0
120111;Hippocampus;0.5255897025312558;12.409673645990857
120111;Thalamus;0.7087551867219917;15.937377450509228
120111;WhiteMatter;0.8484020474764483;2.23606797749979
120111-PP;Amygdala;0.5213653168257244;10.099504938362077
120111-PP;GreyMatter;0.7181998906052547;2.0
120111-PP;Hippocampus;0.5255897025312558;12.409673645990857
120111-PP;Thalamus;0.7087551867219917;15.937377450509228
120111-PP;WhiteMatter;0.8484020474764483;2.23606797749979
122317;Amygdala;0.594188767550702;13.490737563232042
122317;GreyMatter;0.7353813399919995;2.0
122317;Hippocampus;0.5500220685596586;13.490737563232042
122317;Thalamus;0.7705863739259547;14.317821063276353
122317;WhiteMatter;0.8355059432241179;3.0
122317-PP;Amygdala;0.594188767550702;13.490737563232042
122317-PP;GreyMatter;0.7353813399919995;2.0
122317-PP;Hippocampus;0.5500220685596586;13.490737563232042
122317-PP;Thalamus;0.7705863739259547;14.317821063276353
122317-PP;WhiteMatter;0.8355059432241179;3.0
122620;Amygdala;0.5990933816863101;13.892443989449804
122620;GreyMatter;0.7380165767454201;2.23606797749979
122620;Hippocampus;0.5612688023160677;15.556349186104045
122620;Thalamus;0.7703211714623219;12.649110640673518
122620;WhiteMatter;0.8074759059486467;3.0
122620-PP;Amygdala;0.5990933816863101;13.892443989449804
122620-PP;GreyMatter;0.7380165767454201;2.23606797749979
122620-PP;Hippocampus;0.5612688023160677;15.556349186104045
122620-PP;Thalamus;0.7703211714623219;12.649110640673518
122620-PP;WhiteMatter;0.8074759059486467;3.0
123117;Amygdala;0.5452358926919519;13.490737563232042
123117;GreyMatter;0.7205680046800795;2.8284271247461903
123117;Hippocampus;0.5399216262552045;13.45362404707371
123117;Thalamus;0.7158498327550745;16.522711641858304
123117;WhiteMatter;0.8459700566556934;3.0
123117-PP;Amygdala;0.5452358926919519;13.490737563232042
123117-PP;GreyMatter;0.7205680046800795;2.8284271247461903
123117-PP;Hippocampus;0.5399216262552045;13.45362404707371
123117-PP;Thalamus;0.7158498327550745;16.522711641858304
123117-PP;WhiteMatter;0.8459700566556934;3.0
123925;Amygdala;0.5527054858640704;12.041594578792296
123925;GreyMatter;0.7156096109836243;2.0
123925;Hippocampus;0.5418333995173656;13.96424004376894
123925;Thalamus;0.77710766072116;14.491376746189438
123925;WhiteMatter;0.8318719645077575;3.0
123925-PP;Amygdala;0.5527054858640704;12.041594578792296
123925-PP;GreyMatter;0.7156096109836243;2.0
123925-PP;Hippocampus;0.5418333995173656;13.96424004376894
123925-PP;Thalamus;0.77710766072116;14.491376746189438
123925-PP;WhiteMatter;0.8318719645077575;3.0
124422;Amygdala;0.6357437645792212;12.041594578792296
124422;GreyMatter;0.7122755153109324;2.0
124422;Hippocampus;0.5724251398486344;12.206555615733702
124422;Thalamus;0.8002821537738067;15.297058540778355
124422;WhiteMatter;0.7814301893613803;3.1622776601683795
124422-PP;Amygdala;0.6357437645792212;12.041594578792296
124422-PP;GreyMatter;0.7122755153109324;2.0
124422-PP;Hippocampus;0.5724251398486344;12.206555615733702
124422-PP;Thalamus;0.8002821537738067;15.297058540778355
124422-PP;WhiteMatter;0.7814301893613803;3.1622776601683795
