SUBJECT;LABEL;DICE;HDRFDST
117122;Amygdala;0.5055932880543348;13.92838827718412
117122;GreyMatter;0.7184381000451531;2.0
117122;Hippocampus;0.5724194766842937;18.05547008526779
117122;Thalamus;0.7773547425922861;15.7797338380595
117122;WhiteMatter;0.814001439695658;3.0
117122-PP;Amygdala;0.5055932880543348;13.92838827718412
117122-PP;GreyMatter;0.7184381000451531;2.0
117122-PP;Hippocampus;0.5724194766842937;18.05547008526779
117122-PP;Thalamus;0.7773547425922861;15.7797338380595
117122-PP;WhiteMatter;0.814001439695658;3.0
118528;Amygdala;0.46698324522892215;14.317821063276353
118528;GreyMatter;0.7193071281286859;3.0
118528;Hippocampus;0.5598230088495575;15.297058540778355
118528;Thalamus;0.7379527024158281;13.674794331177344
118528;WhiteMatter;0.8258422028789063;3.0
118528-PP;Amygdala;0.46698324522892215;14.317821063276353
118528-PP;GreyMatter;0.7193071281286859;3.0
118528-PP;Hippocampus;0.5598230088495575;15.297058540778355
118528-PP;Thalamus;0.7379527024158281;13.674794331177344
118528-PP;WhiteMatter;0.8258422028789063;3.0
118730;Amygdala;0.5761316872427984;12.36931687685298
118730;GreyMatter;0.7269957719009362;2.0
118730;Hippocampus;0.5209874171549322;12.409673645990857
118730;Thalamus;0.7285856684018164;14.696938456699069
118730;WhiteMatter;0.8108369010671828;2.8284271247461903
118730-PP;Amygdala;0.5761316872427984;12.36931687685298
118730-PP;GreyMatter;0.7269957719009362;2.0
118730-PP;Hippocampus;0.5209874171549322;12.409673645990857
118730-PP;Thalamus;0.7285856684018164;14.696938456699069
118730-PP;WhiteMatter;0.8108369010671828;2.8284271247461903
118932;Amygdala;0.55685825946049;13.076696830622021
118932;GreyMatter;0.7321482636627943;2.0
118932;Hippocampus;0.539590368289835;16.61324772583615
118932;Thalamus;0.7501265822784811;15.394804318340652
118932;WhiteMatter;0.8310628195927356;2.8284271247461903
118932-PP;Amygdala;0.55685825946049;13.076696830622021
118932-PP;GreyMatter;0.7321482636627943;2.0
118932-PP;Hippocampus;0.539590368289835;16.61324772583615
118932-PP;Thalamus;0.7501265822784811;15.394804318340652
118932-PP;WhiteMatter;0.8310628195927356;2.8284271247461903
120111;Amygdala;0.5254456212864893;10.0
120111;GreyMatter;0.716111795039886;2.0
120111;Hippocampus;0.5360602798708288;15.132745950421556
120111;Thalamus;0.70962106401564;16.0312195418814
120111;WhiteMatter;0.846042192047781;2.23606797749979
120111-PP;Amygdala;0.5254456212864893;10.0
120111-PP;GreyMatter;0.716111795039886;2.0
120111-PP;Hippocampus;0.5360602798708288;15.132745950421556
120111-PP;Thalamus;0.70962106401564;16.0312195418814
120111-PP;WhiteMatter;0.846042192047781;2.23606797749979
122317;Amygdala;0.6019127316198446;13.601470508735444
122317;GreyMatter;0.7320583174370704;2.0
122317;Hippocampus;0.5608777903897086;16.97056274847714
122317;Thalamus;0.7685309071447686;15.0
122317;WhiteMatter;0.8318748862168511;3.0
122317-PP;Amygdala;0.6019127316198446;13.601470508735444
122317-PP;GreyMatter;0.7320583174370704;2.0
122317-PP;Hippocampus;0.5608777903897086;16.97056274847714
122317-PP;Thalamus;0.7685309071447686;15.0
122317-PP;WhiteMatter;0.8318748862168511;3.0
122620;Amygdala;0.6047156726768377;13.45362404707371
122620;GreyMatter;0.7353108398564987;2.449489742783178
122620;Hippocampus;0.5734953892274105;15.264337522473747
122620;Thalamus;0.7633533308057717;12.328828005937952
122620;WhiteMatter;0.804645505031462;3.0
122620-PP;Amygdala;0.6047156726768377;13.45362404707371
122620-PP;GreyMatter;0.7353108398564987;2.449489742783178
122620-PP;Hippocampus;0.5734953892274105;15.264337522473747
122620-PP;Thalamus;0.7633533308057717;12.328828005937952
122620-PP;WhiteMatter;0.804645505031462;3.0
123117;Amygdala;0.5419619544945916;13.379088160259652
123117;GreyMatter;0.7201669534826745;3.0
123117;Hippocampus;0.5505603907081585;17.029386365926403
123117;Thalamus;0.718781512605042;16.881943016134134
123117;WhiteMatter;0.8414714729093845;3.1622776601683795
123117-PP;Amygdala;0.5419619544945916;13.379088160259652
123117-PP;GreyMatter;0.7201669534826745;3.0
123117-PP;Hippocampus;0.5505603907081585;17.029386365926403
123117-PP;Thalamus;0.718781512605042;16.881943016134134
123117-PP;WhiteMatter;0.8414714729093845;3.1622776601683795
123925;Amygdala;0.5601364799545067;12.041594578792296
123925;GreyMatter;0.7132798415056959;2.0
123925;Hippocampus;0.5529608269515616;17.60681686165901
123925;Thalamus;0.7793655879525793;14.212670403551895
123925;WhiteMatter;0.8282306651911964;3.1622776601683795
123925-PP;Amygdala;0.5601364799545067;12.041594578792296
123925-PP;GreyMatter;0.7132798415056959;2.0
123925-PP;Hippocampus;0.5529608269515616;17.60681686165901
123925-PP;Thalamus;0.7793655879525793;14.212670403551895
123925-PP;WhiteMatter;0.8282306651911964;3.1622776601683795
124422;Amygdala;0.6417842512517069;12.041594578792296
124422;GreyMatter;0.7034566070025569;2.0
124422;Hippocampus;0.5847290974435478;14.352700094407323
124422;Thalamus;0.8036216637904541;15.362291495737216
124422;WhiteMatter;0.7777148378313903;3.3166247903554
124422-PP;Amygdala;0.6417842512517069;12.041594578792296
124422-PP;GreyMatter;0.7034566070025569;2.0
124422-PP;Hippocampus;0.5847290974435478;14.352700094407323
124422-PP;Thalamus;0.8036216637904541;15.362291495737216
124422-PP;WhiteMatter;0.7777148378313903;3.3166247903554
