SUBJECT;LABEL;DICE;HDRFDST
117122;GreyMatter;0.7311118012660509;1.4142135623730951
117122-PP;GreyMatter;0.7311118012660509;1.4142135623730951
118528;GreyMatter;0.7298437140641677;2.0
118528-PP;GreyMatter;0.7298437140641677;2.0
118730;GreyMatter;0.7368263966993858;1.7320508075688772
118730-PP;GreyMatter;0.7368263966993858;1.7320508075688772
118932;GreyMatter;0.7441043558439008;1.7320508075688772
118932-PP;GreyMatter;0.7441043558439008;1.7320508075688772
120111;GreyMatter;0.7270151225282253;1.7320508075688772
120111-PP;GreyMatter;0.7270151225282253;1.7320508075688772
122317;GreyMatter;0.7412149706766603;1.4142135623730951
122317-PP;GreyMatter;0.7412149706766603;1.4142135623730951
122620;GreyMatter;0.7460750437737443;2.0
122620-PP;GreyMatter;0.7460750437737443;2.0
123117;GreyMatter;0.7315686981180487;2.0
123117-PP;GreyMatter;0.7315686981180487;2.0
123925;GreyMatter;0.725838365462829;1.4142135623730951
123925-PP;GreyMatter;0.725838365462829;1.4142135623730951
124422;GreyMatter;0.7165790461885092;1.7320508075688772
124422-PP;GreyMatter;0.7165790461885092;1.7320508075688772
