SUBJECT;LABEL;DICE;HDRFDST
117122;GreyMatter;0.7296988299195372;1.4142135623730951
117122-PP;GreyMatter;0.7296988299195372;1.4142135623730951
118528;GreyMatter;0.7292744969436964;2.0
118528-PP;GreyMatter;0.7292744969436964;2.0
118730;GreyMatter;0.7357916329560741;1.4142135623730951
118730-PP;GreyMatter;0.7357916329560741;1.4142135623730951
118932;GreyMatter;0.7438588608616901;1.4142135623730951
118932-PP;GreyMatter;0.7438588608616901;1.4142135623730951
120111;GreyMatter;0.7253675108091414;1.4142135623730951
120111-PP;GreyMatter;0.7253675108091414;1.4142135623730951
122317;GreyMatter;0.7406041900414715;1.4142135623730951
122317-PP;GreyMatter;0.7406041900414715;1.4142135623730951
122620;GreyMatter;0.7443247312588555;2.0
122620-PP;GreyMatter;0.7443247312588555;2.0
123117;GreyMatter;0.7320092808953264;2.0
123117-PP;GreyMatter;0.7320092808953264;2.0
123925;GreyMatter;0.7247001614453076;2.0
123925-PP;GreyMatter;0.7247001614453076;2.0
124422;GreyMatter;0.7152427920726082;2.0
124422-PP;GreyMatter;0.7152427920726082;2.0
